original.publication.short,setting,ecosystem.type,dimensionality,arena.size,experimental.duration.seconds,temperature.degree.celcius,predator.species,predator.met.group,predator.ana.group,consumption.type,predation.strategy,predator.mass.mg,prey.species,prey.mass.mg,attack.rate,handling.time,Starvation.Y.N,Starvation.time.seconds,original.publication.full,from.meta.study
Ahn.2010.JApplEntomol,lab,terrestrial,2D,0.0007068583,86400,15,Neoseiulus californicus,invert,invertebrate,carnivore,predator,0.0128207,Tetranychus urticae,0.00123,0.0000000088750039176133,13050141.0955155,Y,21600,"Ahn, J.J., Kim, K.W. & Lee J.-H. (2010): Functional response of Neoseiulus californicus (Acari: Phytoseiidae) to Tetranychus urticae (Acari: Tetranychidae) on strawberry leaves; Journal of Applied Entomology 134; 98-104",Rall.2012.Phil.Trans.R.Soc.B
Ahn.2010.JApplEntomol,lab,terrestrial,2D,0.0007068583,86400,20,Neoseiulus californicus,invert,invertebrate,carnivore,predator,0.0128207,Tetranychus urticae,0.00123,0.0000000120558851077115,5848390.30659718,Y,21600,"Ahn, J.J., Kim, K.W. & Lee J.-H. (2010): Functional response of Neoseiulus californicus (Acari: Phytoseiidae) to Tetranychus urticae (Acari: Tetranychidae) on strawberry leaves; Journal of Applied Entomology 134; 98-104",Rall.2012.Phil.Trans.R.Soc.B
Ahn.2010.JApplEntomol,lab,terrestrial,2D,0.0007068583,86400,25,Neoseiulus californicus,invert,invertebrate,carnivore,predator,0.0128207,Tetranychus urticae,0.00123,0.0000000126056528399363,4843024.0306978,Y,21600,"Ahn, J.J., Kim, K.W. & Lee J.-H. (2010): Functional response of Neoseiulus californicus (Acari: Phytoseiidae) to Tetranychus urticae (Acari: Tetranychidae) on strawberry leaves; Journal of Applied Entomology 134; 98-104",Rall.2012.Phil.Trans.R.Soc.B
Ahn.2010.JApplEntomol,lab,terrestrial,2D,0.0007068583,86400,30,Neoseiulus californicus,invert,invertebrate,carnivore,predator,0.0128207,Tetranychus urticae,0.00123,0.0000000139997316156736,3896478.97015749,Y,21600,"Ahn, J.J., Kim, K.W. & Lee J.-H. (2010): Functional response of Neoseiulus californicus (Acari: Phytoseiidae) to Tetranychus urticae (Acari: Tetranychidae) on strawberry leaves; Journal of Applied Entomology 134; 98-104",Rall.2012.Phil.Trans.R.Soc.B
Ahn.2010.JApplEntomol,lab,terrestrial,2D,0.0007068583,86400,35,Neoseiulus californicus,invert,invertebrate,carnivore,predator,0.0128207,Tetranychus urticae,0.00123,0.0000000409780839600404,2783711.95573942,Y,21600,"Ahn, J.J., Kim, K.W. & Lee J.-H. (2010): Functional response of Neoseiulus californicus (Acari: Phytoseiidae) to Tetranychus urticae (Acari: Tetranychidae) on strawberry leaves; Journal of Applied Entomology 134; 98-104",Rall.2012.Phil.Trans.R.Soc.B
Anderson.1978.JAnimEcol,lab,freshwater,3D,0.0004,300,24.5,Brachydanio rerio,ectovert,vertebrate,carnivore,predator,1220.86,Daphnia magna,0.129858,0.000000478913360295452,94.1112541313754,Y,86400,"Anderson, R.M., Whitfield, P.J., Dobson, A.P. & Keymer, A.E. (1978): Concomitant predation and infection processes: An experimental study; Journal of Animal Ecology 47; 891-911",Rall.2012.Phil.Trans.R.Soc.B
Anderson.1978.JAnimEcol,lab,freshwater,3D,0.0004,300,24.5,Brachydanio rerio,ectovert,vertebrate,carnivore,predator,1220.86,Daphnia magna,0.129858,0.000000487114164256902,170.006562240382,N,0,"Anderson, R.M., Whitfield, P.J., Dobson, A.P. & Keymer, A.E. (1978): Concomitant predation and infection processes: An experimental study; Journal of Animal Ecology 47; 891-911",Rall.2012.Phil.Trans.R.Soc.B
Bailey.1989.AustJEcol,lab,freshwater,3D,0.003,86400,15,Ranatra dispar,invert,invertebrate,carnivore,predator,1505.53,Anisops deanei,12.674,0.00000003,710.115906581111,Y,86400,"Bailey, P.C.E. (1989): The effect of water temperature on the functional response of the water stick insect Ranatra dispar (Heteroptera: Nepidae); Australien Journal of Ecology 14; 381-386",Rall.2012.Phil.Trans.R.Soc.B
Bailey.1989.AustJEcol,lab,freshwater,3D,0.003,86400,20,Ranatra dispar,invert,invertebrate,carnivore,predator,1505.53,Anisops deanei,12.674,0.0000000499999379000016,195.992032550708,Y,86400,"Bailey, P.C.E. (1989): The effect of water temperature on the functional response of the water stick insect Ranatra dispar (Heteroptera: Nepidae); Australien Journal of Ecology 14; 381-386",Rall.2012.Phil.Trans.R.Soc.B
Bailey.1989.AustJEcol,lab,freshwater,3D,0.003,86400,25,Ranatra dispar,invert,invertebrate,carnivore,predator,1505.53,Anisops deanei,12.674,0.0000000800000437760331,215.875064627436,Y,86400,"Bailey, P.C.E. (1989): The effect of water temperature on the functional response of the water stick insect Ranatra dispar (Heteroptera: Nepidae); Australien Journal of Ecology 14; 381-386",Rall.2012.Phil.Trans.R.Soc.B
Bailey.1989.AustJEcol,lab,freshwater,3D,0.003,86400,30,Ranatra dispar,invert,invertebrate,carnivore,predator,1505.53,Anisops deanei,12.674,0.000000110000028116029,201.672873907651,Y,86400,"Bailey, P.C.E. (1989): The effect of water temperature on the functional response of the water stick insect Ranatra dispar (Heteroptera: Nepidae); Australien Journal of Ecology 14; 381-386",Rall.2012.Phil.Trans.R.Soc.B
Barnhinsel.2004.JGtLakesRes,lab,marine,3D,0.02,259200,11.5,Salvelinus namaycush,ectovert,vertebrate,carnivore,predator,4025,Daphnia pullicaria,0.171891,0.000000251985358802816,5534.12692632659,N,0,"Barnhisel, D.R. & Kerfoot, W.C. (2004): Fitting into food webs: Behavioral and functional response of young lake trout (Salvelinus namaycush) to an introduced prey, the spiny cladoceran (Bythotrephes cederstroemi); Journal of Great Lakes Research 30 (Supplement 1); 300–314",Rall.2012.Phil.Trans.R.Soc.B
Bergstrom.2004.JAnimEcol,lab,marine,3D,0.0049,3600,17,Neomysis integer,invert,invertebrate,carnivore,predator,9.1871,Polyphemus pediculus,0.0189581,0.000000377778648179338,9114.83279054574,Y,43200,"Bergstrom, U. & Englund, G., (2004): Spatial scale, heterogeneity and functional response; Journal of Animal Ecology 73: 487-493",Rall.2012.Phil.Trans.R.Soc.B
Bergstrom.2004.JAnimEcol,lab,marine,3D,0.0011,3600,17,Neomysis integer,invert,invertebrate,carnivore,predator,9.1871,Polyphemus pediculus,0.0189581,0.000000172222206722225,8545.15943264362,Y,43200,"Bergstrom, U. & Englund, G., (2004): Spatial scale, heterogeneity and functional response; Journal of Animal Ecology 73: 487-493",Rall.2012.Phil.Trans.R.Soc.B
Buckel.2000.JExpMarBiolEcol,lab,marine,3D,2.492851665,864000,20.5,Pomatomus saltatrix,ectovert,vertebrate,carnivore,predator,140407,Menidia menidia,10086.7,0.000196087485968028,0.0546779685736822,Y,86400,"Buckel, J.A. & Stoner, A.W. (2000): Functional response and switching behavior of young-of-the-year piscivorous bluefish; Journal of Experimental Marine Biology and Ecology 245; 25-41",Rall.2012.Phil.Trans.R.Soc.B
Buckel.2000.JExpMarBiolEcol,lab,marine,3D,2.492851665,864000,20.5,Pomatomus saltatrix,ectovert,vertebrate,carnivore,predator,25964.2,Menidia menidia,2002.39,0.000411334040421896,0.447125320667795,Y,43200,"Buckel, J.A. & Stoner, A.W. (2000): Functional response and switching behavior of young-of-the-year piscivorous bluefish; Journal of Experimental Marine Biology and Ecology 245; 25-41",Rall.2012.Phil.Trans.R.Soc.B
Buckel.2000.JExpMarBiolEcol,lab,marine,3D,2.492851665,864000,20.5,Pomatomus saltatrix,ectovert,vertebrate,carnivore,predator,136734,Morone saxatilis,10354.6,0.000403310264821186,0.159650720796961,Y,86400,"Buckel, J.A. & Stoner, A.W. (2000): Functional response and switching behavior of young-of-the-year piscivorous bluefish; Journal of Experimental Marine Biology and Ecology 245; 25-41",Rall.2012.Phil.Trans.R.Soc.B
