Group,Species,dry_mass_g,Temp_C,Mortality_yr ,Ref
Bird,Accipiter cooperii,109.8,40,0.213,"1,2"
Bird,Accipiter cooperii,132.3,40,0.244,"1,2"
Bird,Accipiter cooperii,132.3,40,0.345,"1,2"
Bird,Accipiter gentilis,256.1,40,0.133,"1,2"
Bird,Accipiter gentilis,256.1,40,0.133,"1,2"
Bird,Accipiter gentilis,256.1,40,0.196,"1,2"
Bird,Accipiter gentilis,284.3,40,0.196,"1,2"
Bird,Accipiter gentilis,284.3,40,0.199,"1,2"
Bird,Accipiter nisus,50.5,40,0.201,3
Bird,Accipiter nisus,59.38,40,0.169,"1,2"
Bird,Accipiter n. nisus,59.38,40,0.164,"1,2"
Bird,Accipiter striatus,43.5,40,0.262,"1,2"
Bird,Acridotheres cristatellus,28.25,40,0.228,"1,2"
Bird,Aechmophorus accidentalis,369.3,40,0.394,"1,2"
Bird,Aechmophorus occidentalis,369.3,40,0.182,"1,2"
Bird,Aegolius acadicus,20.71,40,0.35,"1,2"
Bird,Aegolius acadicus,20.71,40,0.355,"1,2"
Bird,Aegolius acadicus,20.71,40,0.37,"1,2"
Bird,Aegolius funereus,33.5,40,0.233,"1,2"
Bird,Aegolius funereus,33.5,40,0.794,"1,2"
Bird,Aeronautes sexatilis,8.025,40,0.459,"1,2"
Bird,Aethia cristatella,66,40,0.34,"1,2"
Bird,Aethia pusilla,21,40,0.602,"1,2"
Bird,Agelaius phoeniceus,15.9,40,0.161,"1,2"
Bird,Aimophila aestivalis,4.913,40,0.909,"1,2"
Bird,Aimophila quinquestriata,4.763,40,0.667,"1,2"
Bird,Aimophila ruficeps,4.675,40,0.847,"1,2"
Bird,Aix sponsa,62,40,0.112,"1,2"
Bird,Aix sponsa,62,40,0.144,"1,2"
Bird,Alca torda,179.8,40,0.407,"1,2"
Bird,Alca torda,179.8,40,0.42,"1,2"
Bird,Ammodramus caudacutus,4.45,40,0.435,"1,2"
Bird,Ammodramus caudacutus,5.175,40,0.256,"1,2"
Bird,Ammodramus maritimus,5.575,40,0.286,"1,2"
Bird,Ammodramus maritimus,5.813,40,0.289,"1,2"
Bird,Ammodramus maritimus,6.05,40,0.286,"1,2"
Bird,Ammodramus savannarum,4.25,40,0.877,"1,2"
Bird,Amphispiza bilineata,3.375,40,0.435,"1,2"
Bird,Anas acuta,258.8,40,0.119,"1,2"
Bird,Anas acuta,258.8,40,0.123,"1,2"
Bird,Anas americana,179.8,40,0.119,"1,2"
Bird,Anas americana,198,40,0.286,"1,2"
Bird,Anas clypeata,159,40,0.153,"1,2"
Bird,Anas crecca,79.5,40,0.123,"1,2"
Bird,Anas crecca,91,40,0.125,"1,2"
Bird,Anas cyanoptera,102,40,0.198,"1,2"
Bird,Anas discors,90.75,40,0.113,"1,2"
Bird,Anas discors,102.3,40,0.146,"1,2"
Bird,Anas fulvigula,242,40,0.196,"1,2"
Bird,Anas fulvigula,257.5,40,0.19,"1,2"
Bird,Anas laysanensis,106.8,40,0.216,"1,2"
Bird,Anas penelope,204.8,40,0.299,"1,2"
Bird,Anas platyrhynchos,270.5,40,0.087,"1,2"
Bird,Anas platyrhynchos,270.5,40,0.108,"1,2"
Bird,Anas platyrhynchos,270.5,40,0.123,"1,2"
Bird,Anas rubripes,350,40,0.096,"1,2"
Bird,Anas strepera,247.5,40,0.13,"1,2"
Bird,Anas strepera,247.5,40,0.143,"1,2"
Bird,Anhinga anhinga,308.8,40,0.215,"1,2"
Bird,Anous minutus,29.75,40,0.116,"1,2"
Bird,Anous stolidus,49.5,40,0.101,"1,2"
Bird,Anous tenuirostris,27.75,40,0.158,"1,2"
Bird,Anser albifrons,614,40,0.113,"1,2"
Bird,Anser albifrons,614,40,0.125,"1,2"
Bird,Anser albifrons,675.8,40,0.113,"1,2"
Bird,Anser brachyrhynchus,661.3,40,0.115,"1,2"
Bird,Anser caerulescens,657.6,40,0.095,"1,2"
Bird,Anser caerulescens,657.6,40,0.103,"1,2"
Bird,Anser caerulescens,657.6,40,0.13,"1,2"
Bird,Anser canagica,685.8,40,0.286,"1,2"
Bird,Anser canagica,685.8,40,0.413,"1,2"
Bird,Anser rossii,419.8,40,0.118,"1,2"
Bird,Anser rossii,419.8,40,0.129,"1,2"
Bird,Anthus rubescens,5.213,40,0.515,"1,2"
Bird,Anthus spinoletta,5.975,40,0.515,"1,2"
Bird,Aphelocoma coerulescens,20.05,40,0.161,"1,2"
Bird,Aphelocoma ultramarina,31,40,0.133,"1,2"
Bird,Aphelocoma ultramarina,31,40,0.144,"1,2"
Bird,Aphelocoma ultramarina,31,40,0.237,"1,2"
Bird,Aquila audax,875,40,0.442,"1,2"
Bird,Aquila chrysaetos,869.3,40,0.148,"1,2"
Bird,Aquila chrysaetos,1049,40,0.066,"1,2"
Bird,Aquila chrysaetos,1049,40,0.098,"1,2"
Bird,Aquila chrysaetos,1049,40,0.246,"1,2"
Bird,Aquila pomarina,342.5,40,0.097,"1,2"
Bird,Aquila wahlbergi,160,40,0.216,"1,2"
Bird,Archilochus colubris,0.7875,40,0.286,"1,2"
Bird,Archilochus colubris,0.825,40,0.413,"1,2"
Bird,Ardea herodias,597.5,40,0.108,"1,2"
Bird,Arenaria interpres,28.75,40,0.178,"1,2"
Bird,Asio flammeus,86.63,40,0.198,"1,2"
Bird,Asio otus,65.5,40,0.091,"1,2"
Bird,Athene cunicularia,38.75,40,0.296,"1,2"
Bird,Auriparis flaviceps,1.7,40,0.467,"1,2"
Bird,Aythya affinis,212.5,40,0.139,"1,2"
Bird,Aythya americana,205.3,40,0.118,"1,2"
Bird,Aythya collaris,182.5,40,0.124,"1,2"
Bird,Aythya collaris,182.5,40,0.157,"1,2"
Bird,Aythya marila,233,40,0.139,"1,2"
Bird,Aythya valisineria,185.8,40,0.113,"1,2"
Bird,Bartramia longicauda,37.63,40,0.505,"1,2"
Bird,Bombycilla cedrorum,7.963,40,0.37,"1,2"
Bird,Bombycilla garrulus,14.1,40,0.45,"1,2"
Bird,Bonasa umbellus,133,40,0.303,"1,2"
Bird,Bonasa umbellus,144.1,40,0.34,"1,2"
Bird,Botaurus lentiginosus,176.5,40,0.311,"1,2"
Bird,Botaurus lentiginosus,176.5,40,0.323,"1,2"
Bird,Branta bernicla,325,40,0.153,"1,2"
Bird,Branta bernicla hrota,307.5,40,0.117,"1,2"
Bird,Branta bernicla nigricans,342.5,40,0.098,"1,2"
Bird,Branta canadensis,828.5,40,0.108,"1,2"
Bird,Branta canadensis,953.5,40,0.104,"1,2"
Bird,Bubo virginianus,385.8,40,0.123,"1,2"
Bird,Bubo virginianus,385.8,40,0.147,"1,2"
Bird,Bubulcus ibis,84.5,40,0.11,"1,2"
Bird,Bubulcus ibis,84.5,40,0.149,"1,2"
Bird,Bucephala albeola,83.5,40,0.222,"1,2"
Bird,Bucephala albeola,118.3,40,0.171,"1,2"
Bird,Bucephala albeola,118.3,40,0.204,"1,2"
Bird,Bucephala clangula,200,40,0.213,"1,2"
Bird,Bucephala clangula,225,40,0.178,"1,2"
Bird,Bucephala clangula,250,40,0.233,"1,2"
Bird,Bucephala islandica,272.5,40,0.166,"1,2"
Bird,Bulweria bulwerii,24.75,40,0.115,"1,2"
Bird,Butastur indicus indicus,99.25,40,0.303,"1,2"
Bird,Buteo buteo,218.8,40,0.101,"1,2"
Bird,Buteo buteo buteo,218.8,40,0.1,"1,2"
Bird,Buteo jamaicensis,281.5,40,0.118,"1,2"
Bird,Buteo jamaicensis,281.5,40,0.118,"1,2"
Bird,Buteo jamaicensis,281.5,40,0.128,"1,2"
Bird,Buteo lagopus,239,40,0.141,"1,2"
Bird,Buteo lagopus,239,40,0.235,"1,2"
Bird,Buteo lagopus,266.3,40,0.142,"1,2"
Bird,Buteo lineatus,139.8,40,0.127,"1,2"
Bird,Buteo lineatus,139.8,40,0.127,"1,2"
Bird,Buteo regalis,286.3,40,0.127,"1,2"
Bird,Buteo regalis,286.3,40,0.16,"1,2"
Bird,Buteo swainsoni,247.1,40,0.159,"1,2"
Bird,Buteo swainsoni,247.1,40,0.16,"1,2"
Bird,Buteogallus anthracinus,249,40,0.189,"1,2"
Bird,Butorides striatus,53,40,0.327,"1,2"
Bird,Calamospiza melanocorys,9.4,40,0.667,"1,2"
Bird,Calcarius lapponicus,6.825,40,0.526,"1,2"
Bird,Calcarius pictus,0.625,40,0.526,"1,2"
Bird,Calcarius pictus,6.075,40,0.667,"1,2"
Bird,Calidris alba,14.25,40,0.195,"1,2"
Bird,Calidris alba,14.25,40,0.495,"1,2"
Bird,Calidris alpina,23,40,0.206,"1,2"
Bird,Calidris alpina,23,40,0.276,"1,2"
Bird,Calidris canutus,34.25,40,0.251,"1,2"
Bird,Calidris canutus,34.25,40,0.42,"1,2"
Bird,Calidris fuscicollis,8.675,40,0.37,"1,2"
Bird,Calidris mauri,5.825,40,0.279,"1,2"
Bird,Calidris melanotos,20.35,40,0.442,"1,2"
Bird,Calidris minutilla,5.8,40,0.159,"1,2"
Bird,Calidris minutilla,5.8,40,0.159,"1,2"
Bird,Calidris minutilla,5.8,40,0.226,"1,2"
Bird,Calidris ptilocnemis,19.91,40,0.355,"1,2"
Bird,Calidris pusilla,7.825,40,0.213,"1,2"
Bird,Callipepla californica,43.25,40,0.376,"1,2"
Bird,Callipepla gambelii,42.5,40,0.35,"1,2"
Bird,Calothorax lucifer,0.825,40,0.667,"1,2"
Bird,Calypte anna,1,40,0.435,"1,2"
Bird,Calypte anna,1.05,40,0.413,"1,2"
Bird,Camptostoma imberbe,1.85,40,0.549,"1,2"
Bird,Campylorhynchus brunneicapillus,9.725,40,0.413,"1,2"
Bird,Caprimulgus vociferus,13.24,40,0.667,"1,2"
Bird,Cardellina rubrifrons,2.45,40,0.909,"1,2"
Bird,Cardinalis cardinalis,10.98,40,0.161,"1,2"
Bird,Cardinalis sinuatus,9.175,40,0.45,"1,2"
Bird,Carduelis flammea,3.25,40,0.45,"1,2"
Bird,Carduelis hornemanni,3.175,40,0.575,"1,2"
Bird,Carduelis pinus,3.65,40,0.273,"1,2"
Bird,Carduelis psaltria,2.375,40,0.459,"1,2"
Bird,Carduelis tristis,3.225,40,0.233,"1,2"
Bird,Carduelis tristis,3.225,40,0.276,"1,2"
Bird,Carpodacus cassinii,6.625,40,0.37,"1,2"
Bird,Carpodacus mexicanus,5.35,40,0.22,"1,2"
Bird,Carpodacus mexicanus,5.35,40,2.941,"1,2"
Bird,Carpodacus purpureus,6.225,40,0.216,"1,2"
Bird,Cathartes aura,3668,40,0.151,"1,2"
Bird,Catharus fuscescens,7.8,40,0.254,"1,2"
Bird,Catharus guttatus,7.75,40,0.296,"1,2"
Bird,Catharus minimus,8.2,40,0.355,"1,2"
Bird,Catharus ustulatus,7.7,40,0.254,"1,2"
Bird,Catoptrophorus semipalmatus,53.75,40,0.289,"1,2"
Bird,Cepphus columba,121.8,40,0.182,"1,2"
Bird,Cepphus columba,121.8,40,0.216,"1,2"
Bird,Cepphus columba,121.8,40,0.276,"1,2"
Bird,Cepphus grylle,101.3,40,0.211,"1,2"
Bird,Cerorhinca monocerata,130,40,0.35,"1,2"
Bird,Cerorhinca monocerata,130,40,0.42,"1,2"
Bird,Certhia familiaris,2.25,40,0.575,"1,2"
Bird,Chaertura vaux,4.275,40,0.515,"1,2"
Bird,Chaetura pelagica,5.9,40,0.182,"1,2"
Bird,Charadrius alexandrinus,10.35,40,0.169,"1,2"
Bird,Charadrius alexandrinus,10.35,40,0.233,"1,2"
Bird,Charadrius alexandrinus,10.35,40,0.37,"1,2"
Bird,Charadrius melodus,13.8,40,0.182,"1,2"
Bird,Charadrius melodus,13.8,40,0.233,"1,2"
Bird,Charadrius semipalmatus,11.69,40,0.314,"1,2"
Bird,Charadrius vociferus,24.14,40,0.235,"1,2"
Bird,Chlidonias niger,16.33,40,0.147,"1,2"
Bird,Chlidonias niger,16.33,40,0.307,"1,2"
Bird,Chondestes grammacus,7.25,40,0.331,"1,2"
Bird,Chordeiles minor,15.38,40,0.286,"1,2"
Bird,Ciconia ciconia,868.3,40,0.076,"1,2"
Bird,Ciconia nigra,750,40,0.141,"1,2"
Bird,Cinclus mexicanus,15.25,40,0.515,"1,2"
Bird,Circaetus cinereus,512,40,0.382,"1,2"
Bird,Circaetus gallicus,425.8,40,0.147,"1,2"
Bird,Circaetus gallicus,425.8,40,0.149,"1,2"
Bird,Circus aeruginosus,156.9,40,0.152,"1,2"
Bird,Circus aeruginosus,156.9,40,0.155,"1,2"
Bird,Circus aeruginosus approximans,156.9,40,0.139,"1,2"
Bird,Circus cyaneus,108.9,40,0.155,"1,2"
Bird,Circus cyaneus,108.9,40,0.159,"1,2"
Bird,Circus macroarus,97.13,40,0.189,"1,2"
Bird,Circus pygargus,78.88,40,0.156,"1,2"
Bird,Circus pygargus,78.88,40,0.159,"1,2"
Bird,Clangula hyemalis,203.5,40,0.163,"1,2"
Bird,Clangula hyemalis,233,40,0.166,"1,2"
Bird,Coccyzus americanus,16,40,0.526,"1,2"
Bird,Coccyzus erythrophthalmus,12.78,40,0.526,"1,2"
Bird,Colaptes auratus,33,40,0.204,"1,2"
Bird,Colaptes auratus ssp.,33,40,0.279,"1,2"
Bird,Colaptes auratus ssp.,33,40,0.34,"1,2"
Bird,Colaptes auratus ssp.,33,40,0.388,"1,2"
Bird,Colinus virginianus,44.5,40,0.407,"1,2"
Bird,Columba fasciata,85.63,40,0.137,"1,2"
Bird,Columba fasciata,85.63,40,0.164,"1,2"
Bird,Columba leucocephala,61.75,40,0.177,"1,2"
Bird,Columba leucocephala,61.75,40,0.209,"1,2"
Bird,Columba leucocephala,61.75,40,0.311,"1,2"
Bird,Columba livia,88.63,40,0.435,"1,2"
Bird,Columbina inca,11.88,40,0.331,"1,2"
Bird,Columbina passerina,7.525,40,0.36,"1,2"
Bird,Columbina passerina,7.525,40,0.427,"1,2"
Bird,Contopus borealis,8.025,40,0.365,"1,2"
Bird,Contopus borealis,8.025,40,0.442,"1,2"
Bird,Contopus sordidulus,3.2,40,0.427,"1,2"
Bird,Contopus virens,3.525,40,0.365,"1,2"
Bird,Coragyps atratus,520.1,40,0.099,"1,2"
Bird,Corvus brachyrhynchos,112,40,0.174,"1,2"
Bird,Corvus brachyrhynchos,112,40,0.185,"1,2"
Bird,Corvus caurinus,97.88,40,0.199,"1,2"
Bird,Corvus corax,299.8,40,0.192,"1,2"
Bird,Corvus cryptoleucus,133.5,40,0.204,"1,2"
Bird,Corvus ossifragus,71.25,40,0.175,"1,2"
