"Group","Species","dry_mass_g","Temp_C","centroid_temp","Mortality_yr"
"Mammal","Acinonyx_jubatus",12500,23.3172465074642,26.2,0.213
"Mammal","Acinonyx_jubatus",12500,23.3172465074642,26.2,0.169
"Mammal","Acrobates_pygmaeus",3,18.3294933470322,20.4,0.667
"Mammal","Aepyceros_melampus",13130,21.8454013423395,24,0.196
"Mammal","Aepyceros_melampus",13130,21.8454013423395,24,0.169
"Mammal","Aepyprymnus_rufescens",812.5,20.6608465822889,20.1,0.435
"Mammal","Ailuropoda_melanoleuca",30000,8.75185007395799,13.6,0.097
"Mammal","Ailurus_fulgens",875,9.20232977988123,4.5,0.182
"Mammal","Alcelaphus_buselaphus",42750,23.2642528107511,28,0.127
"Mammal","Alces_alces",89750,-3.00519365002465,NA,0.159
"Mammal","Alces_alces",89750,-3.00519365002465,NA,0.093
"Mammal","Allenopithecus_nigroviridis",1187,25.011448001756,24.9,0.11
"Mammal","Vulpes_lagopus",862.5,1.36503344893552,6.75186591219349,0.256
"Mammal","Alouatta_palliata",1819,24.6067614291796,23.1,0.127
"Mammal","Alouatta_palliata",1819,24.6067614291796,23.1,0.127
"Mammal","Alouatta_palliata",1819,24.6067614291796,23.1,0.101
"Mammal","Alouatta_palliata",1819,24.6067614291796,23.1,0.101
"Mammal","Ammotragus_lervia",20940,22.1039502080633,24.6,0.256
"Mammal","Antechinus_flavipes",11.25,17.9170462850647,20.2,3.333
"Mammal","Antechinus_flavipes",11.25,17.9170462850647,20.2,1.429
"Mammal","Antechinus_stuartii",6.875,15.4560427664506,11.4,3.846
"Mammal","Antechinus_stuartii",6.875,15.4560427664506,11.4,0.909
"Mammal","Antidorcas_marsupialis",9762,18.808309386282,20.3,0.127
"Mammal","Antilocapra_americana",11520,8.62909176690005,1,0.256
"Mammal","Antilocapra_americana",11520,8.62909176690005,1,0.256
"Mammal","Antilope_cervicapra",9250,26.1201808379424,27.5,0.169
"Mammal","Antilope_cervicapra",9250,26.1201808379424,27.5,0.141
"Mammal","Aotus_trivirgatus",225,26.2617142028043,26.3,0.213
"Mammal","Aotus_trivirgatus",225,26.2617142028043,26.3,0.127
"Mammal","Aplodontia_rufa",251,7.60326375050116,7.2,0.435
"Mammal","Aplodontia_rufa",251,7.60326375050116,7.2,0.256
"Mammal","Apodemus_sylvaticus",6.25,9.67157231041615,1.4,3.333
"Mammal","Arctictis_binturong",2875,23.9662063516589,24.7,0.141
"Mammal","Arctocebus_calabarensis",52.5,25.4803845112491,25.8,0.27
"Mammal","Arctocephalus_galapagoensis",6750,24.3893093692215,23.8861800978198,0.115
"Mammal","Arctocephalus_gazella",24380,1.69105325120746,0.992370320108086,0.196
"Mammal","Arctocephalus_gazella",24380,1.69105325120746,0.992370320108086,0.11
"Mammal","Arctocephalus_pusillus",44630,17.8207744325316,16.15324842385,0.141
"Mammal","Arctogalidia_trivirgata",562.5,24.2883312801654,23.7,0.213
"Mammal","Arvicola_amphibius",50,2.54311175134736,2.9,1.111
"Mammal","Ateles_paniscus",1975,26.3076608293729,25.9,0.127
"Mammal","Babyrousa_babyrussa",25000,25.0458071545799,22.3,0.105
"Mammal","Balaena_mysticetus",17250000,1.95939044335346,5.05874710769122,0.084
"Mammal","Balaena_mysticetus",17250000,1.95939044335346,5.05874710769122,0.063
"Mammal","Balaenoptera_acutorostrata",2500000,18.9486743933052,25.7599834785664,0.056
"Mammal","Balaenoptera_acutorostrata",2500000,18.9486743933052,25.7599834785664,0.053
"Mammal","Balaenoptera_acutorostrata",2500000,18.9486743933052,25.7599834785664,0.05
"Mammal","Balaenoptera_borealis",5e+06,19.5811347713749,26.1573438033159,0.036
"Mammal","Balaenoptera_borealis",5e+06,19.5811347713749,26.1573438033159,0.034
"Mammal","Balaenoptera_edeni",4e+06,24.9368195016909,26.0932379968349,0.035
"Mammal","Balaenoptera_musculus",37500000,19.0722015180182,20.30535723611,0.056
"Mammal","Balaenoptera_musculus",37500000,19.0722015180182,20.30535723611,0.05
"Mammal","Balaenoptera_musculus",37500000,19.0722015180182,20.30535723611,0.039
"Mammal","Balaenoptera_musculus",37500000,19.0722015180182,20.30535723611,0.023
"Mammal","Balaenoptera_physalus",11250000,13.3030152573197,23.626656051592,0.022
"Mammal","Balaenoptera_physalus",11250000,13.3030152573197,23.626656051592,0.022
"Mammal","Bassaricyon_gabbii",312.5,24.0996869641941,25.4,0.105
"Mammal","Bassariscus_astutus",282.4,16.2578624103192,16.1,0.159
"Mammal","Bassariscus_sumichrasti",225,23.6226191100085,24.7,0.11
"Mammal","Berardius_bairdii",2845000,11.5225454459877,16.1376618311844,0.035
"Mammal","Bison_bison",144800,-2.3692006605863,-2.8,0.101
"Mammal","Bison_bison",144800,-2.3692006605863,-2.8,0.076
"Mammal","Bison_bonasus",2e+05,6.74572123713567,7.4,0.093
"Mammal","Blarina_brevicauda",3.787,6.79668488311312,7.2,1.111
"Mammal","Bradypus_torquatus",975,23.4805023319481,23.7,0.213
"Mammal","Burramys_parvus",10.38,9.50349653991077,9.9,0.667
"Mammal","Cacajao_calvus",1449,26.038758486586,25.8,0.141
"Mammal","Cacajao_melanocephalus",950,26.3434065559086,26.4,0.213
"Mammal","Callithrix_jacchus",73,25.4946868238832,25.7,0.256
"Mammal","Callithrix_jacchus",73,25.4946868238832,25.7,0.256
"Mammal","Callorhinus_ursinus",25000,9.53118618175453,14.6503243472263,0.101
"Mammal","Callorhinus_ursinus",25000,9.53118618175453,14.6503243472263,0.084
"Mammal","Callorhinus_ursinus",62500,9.53118618175453,14.6503243472263,0.051
"Mammal","Canis_latrans",3352,6.30150141294951,3.8,0.175
"Mammal","Canis_latrans",3352,6.30150141294951,3.8,0.175
"Mammal","Canis_latrans",3352,6.30150141294951,3.8,0.12
"Mammal","Canis_lupus",4200,1.8091296563859,9.3,0.256
"Mammal","Canis_lupus",4200,1.8091296563859,9.3,0.186
"Mammal","Canis_lupus",4200,1.8091296563859,9.3,0.159
"Mammal","Canis_lupus",7069,1.8091296563859,9.3,0.256
"Mammal","Canis_lupus",7069,1.8091296563859,9.3,0.186
"Mammal","Canis_lupus",7069,1.8091296563859,9.3,0.159
"Mammal","Canis_rufus",5746,16.3561149549999,16.2,0.159
"Mammal","Capra_cylindricornis",20000,2.47299885931643,3,0.115
"Mammal","Capra_falconeri",23750,6.02443082729842,3.5,0.213
"Mammal","Capra_falconeri",23750,6.02443082729842,3.5,0.196
"Mammal","Capreolus_capreolus",7500,7.61282661786049,7.7,0.169
"Mammal","Castor_canadensis",3604,4.35231313367898,5.9,0.169
"Mammal","Castor_fiber",6250,3.95598939730906,4.3,0.149
