"","Group","Species","dry_mass_g","Temp_C","Mortality_yr","Ref"
"1","Mammal","Acinonyx jubatus",12500,38,0.213,128
"2","Mammal","Acinonyx jubatus",12500,38,0.169,128
"3","Mammal","Acrobates pygmaeus",3,38,0.667,128
"4","Mammal","Aepyceros melampus",13130,38,0.196,128
"5","Mammal","Aepyceros melampus",13130,38,0.169,128
"6","Mammal","Aepyprymnus rufescens",812.5,38,0.435,128
"7","Mammal","Ailuropoda melanoleuca",30000,38,0.097,128
"8","Mammal","Ailurus fulgens",875,38,0.182,128
"9","Mammal","Alcelaphus buselaphus",42750,38,0.127,128
"10","Mammal","Alces alces",89750,38,0.159,128
"11","Mammal","Alces alces",89750,38,0.093,128
"12","Mammal","Allenopithecus nigroviridis",1187,38,0.11,128
"13","Mammal","Vulpes lagopus",862.5,38,0.256,128
"14","Mammal","Alouatta palliata",1819,38,0.127,128
"15","Mammal","Alouatta palliata",1819,38,0.127,128
"16","Mammal","Alouatta palliata",1819,38,0.101,128
"17","Mammal","Alouatta palliata",1819,38,0.101,128
"18","Mammal","Alouatta seniculus",1536,38,0.101,128
"19","Mammal","Ammotragus lervia",20940,38,0.256,128
"20","Mammal","Antechinus flavipes",11.25,38,3.333,128
"21","Mammal","Antechinus flavipes",11.25,38,1.429,128
"22","Mammal","Antechinus stuartii",6.875,38,3.846,128
"23","Mammal","Antechinus stuartii",6.875,38,0.909,128
"24","Mammal","Antidorcas marsupialis",9762,38,0.127,128
"25","Mammal","Antilocapra americana",11520,38,0.256,128
"26","Mammal","Antilocapra americana",11520,38,0.256,128
"27","Mammal","Antilope cervicapra",9250,38,0.169,128
"28","Mammal","Antilope cervicapra",9250,38,0.141,128
"29","Mammal","Aotus trivirgatus",225,38,0.213,128
"30","Mammal","Aotus trivirgatus",225,38,0.127,128
"31","Mammal","Aplodontia rufa",251,38,0.435,128
"32","Mammal","Aplodontia rufa",251,38,0.256,128
"33","Mammal","Apodemus sylvaticus",6.25,38,3.333,128
"34","Mammal","Arctictis binturong",2875,38,0.141,128
"35","Mammal","Arctocebus calabarensis",52.5,38,0.27,128
"36","Mammal","Arctocephalus galapagoensis",6750,38,0.115,128
"37","Mammal","Arctocephalus gazella",24380,38,0.196,128
"38","Mammal","Arctocephalus gazella",24380,38,0.11,128
"39","Mammal","Arctocephalus pusillus",44630,38,0.141,128
"40","Mammal","Arctogalidia trivirgata",562.5,38,0.213,128
"41","Mammal","Arvicola amphibius",50,38,1.111,128
"42","Mammal","Ateles paniscus",1975,38,0.127,128
"43","Mammal","Babyrousa babyrussa",25000,38,0.105,128
"44","Mammal","Balaena mysticetus",17250000,38,0.084,128
"45","Mammal","Balaena mysticetus",17250000,38,0.063,128
"46","Mammal","Balaenoptera acutorostrata",2500000,38,0.056,128
"47","Mammal","Balaenoptera acutorostrata",2500000,38,0.053,128
"48","Mammal","Balaenoptera acutorostrata",2500000,38,0.05,128
"49","Mammal","Balaenoptera borealis",5e+06,38,0.036,128
"50","Mammal","Balaenoptera borealis",5e+06,38,0.034,128
"51","Mammal","Balaenoptera edeni",4e+06,38,0.035,128
"52","Mammal","Balaenoptera musculus",37500000,38,0.056,128
"53","Mammal","Balaenoptera musculus",37500000,38,0.05,128
"54","Mammal","Balaenoptera musculus",37500000,38,0.039,128
"55","Mammal","Balaenoptera musculus",37500000,38,0.023,128
"56","Mammal","Balaenoptera physalus",11250000,38,0.022,128
"57","Mammal","Balaenoptera physalus",11250000,38,0.022,128
"58","Mammal","Bassaricyon gabbii",312.5,38,0.105,128
"59","Mammal","Bassariscus astutus",282.4,38,0.159,128
"60","Mammal","Bassariscus sumichrasti",225,38,0.11,128
"61","Mammal","Berardius bairdii",2845000,38,0.035,128
"62","Mammal","Bison bison",144800,38,0.101,128
"63","Mammal","Bison bison",144800,38,0.076,128
"64","Mammal","Bison bonasus",2e+05,38,0.093,128
"65","Mammal","Blarina brevicauda",3.787,38,1.111,128
"66","Mammal","Bos grunniens",250000,38,0.101,128
"67","Mammal","Bradypus torquatus",975,38,0.213,128
"68","Mammal","Burramys parvus",10.38,38,0.667,128
"69","Mammal","Cacajao calvus",1449,38,0.141,128
"70","Mammal","Cacajao melanocephalus",950,38,0.213,128
"71","Mammal","Callithrix jacchus",73,38,0.256,128
"72","Mammal","Callithrix jacchus",73,38,0.256,128
"73","Mammal","Callorhinus ursinus",25000,38,0.101,128
"74","Mammal","Callorhinus ursinus",25000,38,0.084,128
"75","Mammal","Callorhinus ursinus",62500,38,0.051,3
"76","Mammal","Camelus dromedarius",2e+05,38,0.063,128
"77","Mammal","Canis latrans",3352,38,0.175,128
"78","Mammal","Canis latrans",3352,38,0.175,128
"79","Mammal","Canis latrans",3352,38,0.12,128
"80","Mammal","Canis lupus",4200,38,0.256,128
"81","Mammal","Canis lupus",4200,38,0.186,128
"82","Mammal","Canis lupus",4200,38,0.159,128
"83","Mammal","Canis lupus",7069,38,0.256,128
"84","Mammal","Canis lupus",7069,38,0.186,128
"85","Mammal","Canis lupus",7069,38,0.159,128
"86","Mammal","Canis rufus",5746,38,0.159,128
"87","Mammal","Capra cylindricornis",20000,38,0.115,128
"88","Mammal","Capra falconeri",23750,38,0.213,128
"89","Mammal","Capra falconeri",23750,38,0.196,128
"90","Mammal","Capreolus capreolus",7500,38,0.169,128
"91","Mammal","Castor canadensis",3604,38,0.169,128
"92","Mammal","Castor fiber",6250,38,0.149,128
"93","Mammal","Cavia porcellus",182,38,0.172,128
"94","Mammal","Cebus albifrons",657.2,38,0.063,128
"95","Mammal","Sapajus apella",625,38,0.063,128
"96","Mammal","Philantomba monticola",1562,38,0.213,128
"97","Mammal","Cephalorhynchus commersonii",12500,38,0.141,128
"98","Mammal","Ceratotherium simum",737500,38,0.07,128
"99","Mammal","Ceratotherium simum",737500,38,0.056,128
"100","Mammal","Ceratotherium simum",737500,38,0.05,128
"101","Mammal","Cercocebus torquatus",1937,38,0.123,128
"102","Mammal","Cercocebus torquatus",1937,38,0.084,128
"103","Mammal","Cercopithecus diana",1044,38,0.072,128
"104","Mammal","Cercopithecus mona",1156,38,0.084,128
"105","Mammal","Cervus elaphus",12500,38,0.05,3
"106","Mammal","Cervus elaphus",12500,38,0.025,3
"107","Mammal","Cervus elaphus",29880,38,0.127,128
"108","Mammal","Cervus elaphus",29880,38,0.094,128
"109","Mammal","Cervus elaphus",39060,38,0.127,128
"110","Mammal","Cervus elaphus",39060,38,0.094,128
"111","Mammal","Cervus elaphus",54440,38,0.127,128
"112","Mammal","Cervus elaphus",54440,38,0.094,128
"113","Mammal","Chinchilla lanigera",121.2,38,0.256,128
"114","Mammal","Chinchilla lanigera",121.2,38,0.226,128
