"","Mean_Temp_C","World_Clim_Temp_C","Ocean_Temp_C","Species"
"1",9.1,9.1,13.7718635424523,"Charadrius alexandrinus"
"2",4.7,4.7,9.61141070514227,"Fulica americana"
"3",5.6,5.6,10.8326326156549,"Charadrius semipalmatus"
"4",1.8,1.8,7.80900548896432,"Charadrius vociferus"
"5",9,9,12.7244091850315,"Chordeiles minor"
"6",3.3,3.3,12.0319233431273,"Ciconia nigra"
"7",24.7,24.7,26.7504101669234,"Circaetus cinereus"
"8",9.9,9.9,15.0485224119086,"Circaetus gallicus"
"9",5.8,5.8,11.9858088987772,"Circus aeruginosus"
"10",24.5,24.5,27.5175827984155,"Ciconia ciconia"
"11",0,0,6.42391536261771,"Circus cyaneus"
"12",21.5,21.5,24.8882947677644,"Circus macrourus"
"13",19.4,19.4,22.1370054593127,"Circus pygargus"
"14",21.7,21.7,27.1002812413463,"Clanga pomarina"
"15",-10.6,-10.6,1.70209656650311,"Clangula hyemalis"
"16",25.2,25.2,24.3479691892274,"Coccyzus americanus"
"17",8.2,8.2,11.3887357635869,"Coccyzus erythropthalmus"
"18",-0.3,-0.3,5.8385770006909,"Colaptes auratus"
"19",11.2,11.2,24.1142406024936,"Columba livia"
"20",16.8,16.8,19.8776587763134,"Colinus virginianus"
"21",20.9,20.9,25.4181199278766,"Columbina inca"
"22",15.2,15.2,28.3213561825473,"Columbina passerina"
"23",26.2,26.2,24.5193171973105,"Coragyps atratus"
"24",NA,NA,11.5712412458721,"Daption capense"
"25",2.1,2.1,8.28555731284449,"Dendragapus obscurus"
"26",6.1,6.1,10.5586710016516,"Cygnus olor"
"27",16.6,16.6,22.8016923034511,"Cypseloides niger"
"28",6.3,6.3,10.8154192909964,"Dryobates pubescens"
"29",26.3,26.3,24.5715948560515,"Egretta thula"
"30",NA,NA,26.2210261107238,"Egretta rufescens"
"31",27.2,27.2,27.7977248016207,"Elanus caeruleus"
"32",NA,NA,28.3573077800964,"Eudocimus albus"
"33",6.6,6.6,10.24504283168,"Oxyura jamaicensis"
"34",15.6976258576116,NA,15.6976258576116,"Eudyptula minor"
"35",NA,NA,9.13140831961835,"Falco columbarius"
"36",22.6,22.6,27.4431391393778,"Falco eleonorae"
"37",NA,NA,29.4352310496644,"Falco tinnunculus"
"38",28.5,28.5,24.9674061226524,"Falco vespertinus"
"39",-2.1,-2.1,4.69624954206993,"Falcipennis canadensis"
"40",21.5,21.5,23.6854007046113,"Falco berigora"
