"","Mean_Temp_C","Order","Family","Species"
"1",23,"AFROSORICIDA","Tenrecidae","Echinops telfairi"
"2",21.2,"AFROSORICIDA","Tenrecidae","Hemicentetes semispinosus"
"3",19.8,"AFROSORICIDA","Tenrecidae","Microgale dobsoni"
"4",19.5,"AFROSORICIDA","Tenrecidae","Microgale talazaci"
"5",4.5,"CARNIVORA","Ailuridae","Ailurus fulgens"
"6",3.8,"CARNIVORA","Canidae","Canis latrans"
"7",9.3,"CARNIVORA","Canidae","Canis lupus"
"8",16.2,"CARNIVORA","Canidae","Canis rufus"
"9",21.3,"CARNIVORA","Canidae","Lycaon pictus"
"10",6.7,"CARNIVORA","Canidae","Nyctereutes procyonoides"
"11",17.4,"CARNIVORA","Canidae","Vulpes cana"
"12",19.8,"CARNIVORA","Canidae","Vulpes chama"
"13",2.7,"CARNIVORA","Canidae","Vulpes lagopus"
"14",26.9,"CARNIVORA","Canidae","Vulpes pallida"
"15",7.6,"CARNIVORA","Canidae","Vulpes vulpes"
"16",26.2,"CARNIVORA","Felidae","Acinonyx jubatus"
"17",20,"CARNIVORA","Felidae","Felis nigripes"
"18",26.5,"CARNIVORA","Felidae","Felis silvestris"
"19",24.4,"CARNIVORA","Felidae","Leptailurus serval"
"20",17.8,"CARNIVORA","Felidae","Panthera leo"
"21",23.7,"CARNIVORA","Felidae","Panthera pardus"
"22",2.3,"CARNIVORA","Felidae","Panthera tigris"
"23",8.9,"CARNIVORA","Felidae","Prionailurus bengalensis"
"24",24.4,"CARNIVORA","Herpestidae","Herpestes ichneumon"
"25",24.7,"CARNIVORA","Hyaenidae","Crocuta crocuta"
"26",8.8,"CARNIVORA","Mephitidae","Mephitis mephitis"
"27",10.1123363020242,"CARNIVORA","Mustelidae","Enhydra lutris"
"28",6.9,"CARNIVORA","Mustelidae","Martes martes"
"29",-8.4,"CARNIVORA","Mustelidae","Martes zibellina"
"30",26.2,"CARNIVORA","Mustelidae","Mellivora capensis"
"31",5.4,"CARNIVORA","Mustelidae","Mustela lutreola"
"32",8.1,"CARNIVORA","Mustelidae","Mustela putorius"
"33",4.1,"CARNIVORA","Mustelidae","Neovison vison"
"34",0.2,"CARNIVORA","Mustelidae","Taxidea taxus"
"35",NA,"CARNIVORA","Odobenidae","Odobenus rosmarus"
"36",23.8861800978198,"CARNIVORA","Otariidae","Arctocephalus galapagoensis"
"37",0.992370320108086,"CARNIVORA","Otariidae","Arctocephalus gazella"
"38",16.15324842385,"CARNIVORA","Otariidae","Arctocephalus pusillus"
"39",14.6503243472263,"CARNIVORA","Otariidae","Callorhinus ursinus"
"40",10.1437101005583,"CARNIVORA","Otariidae","Eumetopias jubatus"
"41",14.3616980337744,"CARNIVORA","Otariidae","Otaria byronia"
"42",22.6852062828424,"CARNIVORA","Otariidae","Zalophus californianus"
"43",8.92589457262316,"CARNIVORA","Phocidae","Cystophora cristata"
"44",3.67541800858861,"CARNIVORA","Phocidae","Erignathus barbatus"
"45",10.2759283510288,"CARNIVORA","Phocidae","Halichoerus grypus"
"46",9.60161599402717,"CARNIVORA","Phocidae","Histriophoca fasciata"
"47",-1.20942936663349,"CARNIVORA","Phocidae","Hydrurga leptonyx"
"48",-1.20174851849096,"CARNIVORA","Phocidae","Lobodon carcinophaga"
"49",12.3278464613353,"CARNIVORA","Phocidae","Mirounga angustirostris"
"50",0.660378518723564,"CARNIVORA","Phocidae","Mirounga leonina"
"51",6.75186591219349,"CARNIVORA","Phocidae","Pagophilus groenlandicus"
"52",3.5216301470424,"CARNIVORA","Phocidae","Phoca vitulina"
"53",15.9294186870444,"CARNIVORA","Phocidae","Pusa caspica"
"54",0.915755340726869,"CARNIVORA","Phocidae","Pusa hispida"
"55",8.96289926944139,"CARNIVORA","Phocidae","Pusa sibirica"
"56",25.4,"CARNIVORA","Procyonidae","Bassaricyon gabbii"
"57",16.1,"CARNIVORA","Procyonidae","Bassariscus astutus"
"58",24.7,"CARNIVORA","Procyonidae","Bassariscus sumichrasti"
"59",25.2,"CARNIVORA","Procyonidae","Nasua nasua"
"60",26.9,"CARNIVORA","Procyonidae","Potos flavus"
"61",25.5,"CARNIVORA","Procyonidae","Procyon cancrivorus"
"62",14.4,"CARNIVORA","Procyonidae","Procyon lotor"
"63",13.6,"CARNIVORA","Ursidae","Ailuropoda melanoleuca"
"64",-4.3,"CARNIVORA","Ursidae","Ursus arctos"
"65",24.7,"CARNIVORA","Viverridae","Arctictis binturong"
"66",23.7,"CARNIVORA","Viverridae","Arctogalidia trivirgata"
"67",26.2,"CARNIVORA","Viverridae","Civettictis civetta"
"68",22.3,"CARNIVORA","Viverridae","Paguma larvata"
"69",26.3,"CARNIVORA","Viverridae","Paradoxurus hermaphroditus"
"70",1,"CETARTIODACTYLA","Antilocapridae","Antilocapra americana"
"71",5.05874710769122,"CETARTIODACTYLA","Balaenidae","Balaena mysticetus"
"72",25.7599834785664,"CETARTIODACTYLA","Balaenopteridae","Balaenoptera acutorostrata"
"73",26.1573438033159,"CETARTIODACTYLA","Balaenopteridae","Balaenoptera borealis"
"74",26.0932379968349,"CETARTIODACTYLA","Balaenopteridae","Balaenoptera edeni"
"75",20.30535723611,"CETARTIODACTYLA","Balaenopteridae","Balaenoptera musculus"
"76",23.626656051592,"CETARTIODACTYLA","Balaenopteridae","Balaenoptera physalus"
"77",25.7599834785664,"CETARTIODACTYLA","Balaenopteridae","Megaptera novaeangliae"
"78",24,"CETARTIODACTYLA","Bovidae","Aepyceros melampus"
"79",28,"CETARTIODACTYLA","Bovidae","Alcelaphus buselaphus"
"80",24.6,"CETARTIODACTYLA","Bovidae","Ammotragus lervia"
"81",20.3,"CETARTIODACTYLA","Bovidae","Antidorcas marsupialis"
"82",27.5,"CETARTIODACTYLA","Bovidae","Antilope cervicapra"
"83",-2.8,"CETARTIODACTYLA","Bovidae","Bison bison"
"84",7.4,"CETARTIODACTYLA","Bovidae","Bison bonasus"
"85",3,"CETARTIODACTYLA","Bovidae","Capra cylindricornis"
"86",3.5,"CETARTIODACTYLA","Bovidae","Capra falconeri"
"87",22.4,"CETARTIODACTYLA","Bovidae","Damaliscus lunatus"
"88",23,"CETARTIODACTYLA","Bovidae","Gazella dorcas"
"89",19.2,"CETARTIODACTYLA","Bovidae","Gazella gazella"
"90",0.6,"CETARTIODACTYLA","Bovidae","Hemitragus jemlahicus"
"91",25.4,"CETARTIODACTYLA","Bovidae","Kobus ellipsiprymnus"
"92",26.4,"CETARTIODACTYLA","Bovidae","Kobus kob"
"93",22.3,"CETARTIODACTYLA","Bovidae","Kobus leche"
"94",27.4,"CETARTIODACTYLA","Bovidae","Kobus megaceros"
"95",28.9,"CETARTIODACTYLA","Bovidae","Litocranius walleri"
"96",2.1,"CETARTIODACTYLA","Bovidae","Oreamnos americanus"
"97",-13.4,"CETARTIODACTYLA","Bovidae","Ovibos moschatus"
"98",-4.4,"CETARTIODACTYLA","Bovidae","Ovis ammon"
"99",10,"CETARTIODACTYLA","Bovidae","Ovis canadensis"
"100",-6.9,"CETARTIODACTYLA","Bovidae","Ovis dalli"
"101",15.7,"CETARTIODACTYLA","Bovidae","Pelea capreolus"
"102",25,"CETARTIODACTYLA","Bovidae","Philantomba monticola"
"103",-5.6,"CETARTIODACTYLA","Bovidae","Pseudois nayaur"
"104",14.4,"CETARTIODACTYLA","Bovidae","Redunca fulvorufula"
"105",1.4,"CETARTIODACTYLA","Bovidae","Rupicapra rupicapra"
"106",7.1,"CETARTIODACTYLA","Bovidae","Saiga tatarica"
"107",20.1,"CETARTIODACTYLA","Bovidae","Syncerus caffer"
"108",24.6,"CETARTIODACTYLA","Bovidae","Tetracerus quadricornis"
"109",26.6,"CETARTIODACTYLA","Bovidae","Tragelaphus imberbis"
"110",14.3,"CETARTIODACTYLA","Camelidae","Lama guanicoe"
"111",16.8,"CETARTIODACTYLA","Camelidae","Vicugna vicugna"
"112",NA,"CETARTIODACTYLA","Cervidae","Alces alces"
"113",7.7,"CETARTIODACTYLA","Cervidae","Capreolus capreolus"
"114",9.9,"CETARTIODACTYLA","Cervidae","Cervus elaphus"
"115",8,"CETARTIODACTYLA","Cervidae","Dama dama"
"116",14,"CETARTIODACTYLA","Cervidae","Elaphurus davidianus"
"117",14.8,"CETARTIODACTYLA","Cervidae","Hydropotes inermis"
"118",26.4,"CETARTIODACTYLA","Cervidae","Mazama americana"
"119",18.9,"CETARTIODACTYLA","Cervidae","Odocoileus virginianus"
"120",NA,"CETARTIODACTYLA","Cervidae","Rangifer tarandus"
"121",8.93852871482976,"CETARTIODACTYLA","Delphinidae","Cephalorhynchus commersonii"
"122",25.2248935332361,"CETARTIODACTYLA","Delphinidae","Delphinus delphis"
"123",10.7239698763713,"CETARTIODACTYLA","Delphinidae","Lagenorhynchus acutus"
"124",25.7599834785664,"CETARTIODACTYLA","Delphinidae","Orcinus orca"
"125",26.9792551183646,"CETARTIODACTYLA","Delphinidae","Peponocephala electra"
"126",27.885914623151,"CETARTIODACTYLA","Delphinidae","Pseudorca crassidens"
"127",25.95815808172,"CETARTIODACTYLA","Delphinidae","Stenella attenuata"
"128",26.2576991381327,"CETARTIODACTYLA","Delphinidae","Stenella coeruleoalba"
"129",25.8710721165859,"CETARTIODACTYLA","Delphinidae","Tursiops truncatus"
"130",8.15232062183361,"CETARTIODACTYLA","Eschrichtiidae","Eschrichtius robustus"
"131",19.2,"CETARTIODACTYLA","Giraffidae","Giraffa camelopardalis"
"132",23.6,"CETARTIODACTYLA","Hippopotamidae","Hippopotamus amphibius"
"133",0.74482525014465,"CETARTIODACTYLA","Monodontidae","Delphinapterus leucas"
"134",1.61458620328289,"CETARTIODACTYLA","Monodontidae","Monodon monoceros"
"135",28.7219913740797,"CETARTIODACTYLA","Phocoenidae","Neophocaena phocaenoides"
"136",11.8272895770633,"CETARTIODACTYLA","Phocoenidae","Phocoena phocoena"
"137",16.0437438387854,"CETARTIODACTYLA","Phocoenidae","Phocoenoides dalli"
"138",25.7599834785664,"CETARTIODACTYLA","Physeteridae","Physeter macrocephalus"
"139",19.7270744299778,"CETARTIODACTYLA","Pontoporiidae","Pontoporia blainvillei"
"140",22.3,"CETARTIODACTYLA","Suidae","Babyrousa babyrussa"
"141",30.1,"CETARTIODACTYLA","Suidae","Phacochoerus aethiopicus"
